time,V_actual,alpha_actual,q_actual,beta_actual,p_actual,r_actual,V_cmd,alpha_cmd,q_cmd,beta_cmd,p_cmd,r_cmd,throttle_cmd,elevator_cmd,aileron_cmd,rudder_cmd,throttle_actual,elevator_actual,aileron_actual,rudder_actual
0.1200,400.2474,0.005596,0.014252,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0566,0.0000,-0.0000,0.6539,-0.0302,0.0000,-0.0000
0.1240,400.2550,0.005773,0.014060,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0566,0.0000,-0.0000,0.6539,-0.0285,0.0000,-0.0000
0.1280,400.2626,0.005948,0.013842,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0566,0.0000,-0.0000,0.6539,-0.0285,0.0000,-0.0000
0.1320,400.2701,0.006122,0.013627,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0576,0.0000,-0.0000,0.6539,-0.0285,0.0000,-0.0000
0.1360,400.2776,0.006295,0.013411,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0576,0.0000,-0.0000,0.6539,-0.0274,0.0000,-0.0000
0.1400,400.2852,0.006466,0.013182,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0576,0.0000,-0.0000,0.6539,-0.0274,0.0000,-0.0000
0.1440,400.2927,0.006636,0.012953,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0581,0.0000,-0.0000,0.6539,-0.0274,0.0000,-0.0000
0.1480,400.3001,0.006804,0.012726,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0581,0.0000,-0.0000,0.6539,-0.0270,0.0000,-0.0000
0.1520,400.3076,0.006971,0.012492,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0581,0.0000,-0.0000,0.6539,-0.0270,0.0000,-0.0000
0.1560,400.3150,0.007136,0.012259,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0582,0.0000,-0.0000,0.6539,-0.0270,0.0000,-0.0000
0.1600,400.3224,0.007300,0.012027,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0582,0.0000,-0.0000,0.6539,-0.0268,0.0000,-0.0000
0.1640,400.3298,0.007463,0.011795,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0582,0.0000,-0.0000,0.6539,-0.0268,0.0000,-0.0000
0.1680,400.3372,0.007624,0.011563,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0580,0.0000,-0.0000,0.6539,-0.0268,0.0000,-0.0000
0.1720,400.3446,0.007783,0.011333,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0580,0.0000,-0.0000,0.6539,-0.0270,0.0000,-0.0000
0.1760,400.3519,0.007942,0.011105,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0580,0.0000,-0.0000,0.6539,-0.0270,0.0000,-0.0000
0.1800,400.3593,0.008099,0.010879,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0577,0.0000,-0.0000,0.6539,-0.0270,0.0000,-0.0000
0.1840,400.3666,0.008254,0.010653,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0577,0.0000,-0.0000,0.6539,-0.0274,0.0000,-0.0000
